industry,founded_year,city,no_of_founders,funding_stage,previous_funding_amount,investment_type,market_size_category,target_funding_category,startup_age
Saas,2023,Bangalore,4,Series B,10.72,Vc,Medium,Large,1
Edtech,2021,Bangalore,3,Series A,5.48,Vc,Small,Medium,3
Edtech,2010,Mumbai,1,Series A,17.63,Vc,Large,Large,14
Saas,2016,Bangalore,2,Series A,0.79,Vc,Small,Small,8
Ai,2019,Mumbai,2,Seed,1.87,Pe,Medium,Small,5
Healthtech,2021,Mumbai,1,Series A,4.47,Pe,Large,Medium,3
Fintech,2021,Hyderabad,2,Series B,1.83,Pe,Large,Medium,3
Ai,2014,Bangalore,4,Seed,16.59,Pe,Large,Large,10
E-Commerce,2009,Chennai,4,Series A,0.28,Angel,Medium,Small,15
Saas,2008,Chennai,4,Series A,13.1,Angel,Medium,Large,16
Fintech,2018,Hyderabad,4,Series A,9.22,Vc,Medium,Large,6
Edtech,2009,Hyderabad,3,Seed,15.5,Pe,Large,Large,15
Healthtech,2020,Mumbai,4,Seed,8.33,Vc,Large,Large,4
E-Commerce,2019,Chennai,3,Seed,12.97,Angel,Medium,Large,5
Edtech,2023,Bangalore,3,Seed,12.86,Vc,Medium,Large,1
Saas,2010,Chennai,3,Series B,7.4,Vc,Small,Large,14
Fintech,2012,Hyderabad,2,Seed,2.46,Angel,Small,Small,12
Saas,2021,Hyderabad,3,Series A,8.77,Angel,Small,Medium,3
Fintech,2022,Mumbai,2,Seed,17.53,Angel,Small,Large,2
Ai,2010,Bangalore,4,Seed,15.97,Angel,Large,Large,14
Healthtech,2017,Hyderabad,2,Seed,7.55,Pe,Medium,Medium,7
Ai,2016,Pune,1,Series A,17.37,Vc,Large,Large,8
Ai,2017,Bangalore,2,Series A,8.89,Vc,Large,Large,7
Saas,2011,Chennai,1,Seed,4.09,Vc,Small,Small,13
Healthtech,2014,Mumbai,2,Series A,17.31,Vc,Medium,Large,10
Fintech,2011,Chennai,3,Series B,9.97,Vc,Large,Large,13
Fintech,2010,Pune,1,Seed,8.79,Angel,Small,Medium,14
E-Commerce,2017,Hyderabad,2,Series B,4.85,Vc,Medium,Large,7
Edtech,2008,Hyderabad,4,Seed,15.34,Vc,Large,Large,16
E-Commerce,2021,Bangalore,2,Series B,11.09,Pe,Medium,Large,3
E-Commerce,2019,Hyderabad,1,Series B,4.31,Pe,Small,Medium,5
Fintech,2016,Pune,4,Seed,5.33,Vc,Small,Small,8
Saas,2020,Bangalore,1,Series A,7.77,Pe,Medium,Large,4
Ai,2018,Pune,3,Series A,10.78,Pe,Medium,Large,6
Ai,2008,Delhi,3,Seed,16.14,Pe,Small,Medium,16
Ai,2018,Hyderabad,2,Series B,4.3,Vc,Medium,Medium,6
Healthtech,2020,Chennai,2,Series A,14.82,Pe,Large,Large,4
Fintech,2008,Chennai,2,Seed,18.34,Angel,Medium,Large,16
Saas,2022,Bangalore,2,Seed,8.03,Angel,Small,Medium,2
Healthtech,2008,Pune,1,Series A,7.44,Angel,Medium,Large,16
Edtech,2021,Pune,1,Seed,9.66,Vc,Large,Large,3
Saas,2012,Pune,2,Seed,16.38,Pe,Medium,Large,12
E-Commerce,2023,Pune,2,Series B,2.03,Vc,Small,Small,1
Saas,2014,Delhi,3,Series A,7.87,Pe,Medium,Large,10
Saas,2014,Hyderabad,2,Series A,0.78,Pe,Small,Small,10
Ai,2017,Pune,3,Seed,10.45,Angel,Small,Medium,7
Saas,2023,Mumbai,3,Seed,18.89,Pe,Medium,Large,1
E-Commerce,2008,Mumbai,2,Seed,3.37,Pe,Large,Medium,16
E-Commerce,2013,Chennai,1,Series A,5.26,Vc,Medium,Medium,11
Fintech,2016,Hyderabad,3,Seed,14.04,Vc,Small,Medium,8
Saas,2013,Mumbai,3,Seed,13.87,Pe,Large,Large,11
Ai,2022,Bangalore,2,Series B,12.02,Angel,Large,Large,2
Saas,2011,Hyderabad,1,Series A,4.99,Pe,Medium,Medium,13
Edtech,2022,Chennai,4,Series A,1.52,Angel,Small,Small,2
Edtech,2017,Delhi,3,Seed,4.6,Vc,Medium,Small,7
Ai,2016,Bangalore,2,Seed,12.85,Vc,Medium,Large,8
Fintech,2023,Bangalore,1,Seed,6.07,Pe,Large,Medium,1
Fintech,2020,Pune,1,Series B,16.87,Angel,Large,Large,4
E-Commerce,2010,Hyderabad,1,Seed,12.4,Angel,Medium,Large,14
E-Commerce,2020,Delhi,3,Series A,1.19,Angel,Small,Small,4
Healthtech,2017,Bangalore,4,Seed,1.95,Pe,Medium,Small,7
Ai,2011,Delhi,1,Series A,5.76,Pe,Medium,Medium,13
Saas,2011,Chennai,3,Seed,11.56,Pe,Large,Large,13
Ai,2011,Bangalore,2,Seed,18.75,Angel,Small,Large,13
Healthtech,2013,Mumbai,1,Seed,2.24,Pe,Medium,Small,11
E-Commerce,2020,Chennai,3,Seed,16.65,Vc,Medium,Large,4
Ai,2023,Chennai,4,Series A,11.54,Vc,Small,Large,1
Ai,2018,Pune,1,Series A,7.41,Angel,Medium,Large,6
E-Commerce,2022,Bangalore,4,Seed,12.93,Pe,Medium,Large,2
Healthtech,2022,Mumbai,3,Series A,15.74,Pe,Large,Large,2
E-Commerce,2018,Delhi,2,Seed,7.3,Angel,Medium,Medium,6
Fintech,2014,Mumbai,3,Seed,18.41,Angel,Medium,Large,10
Saas,2021,Chennai,4,Seed,11.11,Vc,Large,Large,3
E-Commerce,2016,Bangalore,4,Series A,3.31,Pe,Medium,Medium,8
Healthtech,2021,Mumbai,2,Seed,11.03,Vc,Large,Large,3
Edtech,2018,Mumbai,1,Seed,15.36,Vc,Medium,Large,6
Fintech,2010,Chennai,3,Series B,11.81,Angel,Large,Large,14
Edtech,2015,Delhi,2,Seed,11.77,Vc,Large,Large,9
E-Commerce,2015,Mumbai,1,Seed,0.75,Vc,Large,Small,9
Fintech,2008,Pune,2,Series A,9.37,Vc,Medium,Large,16
Saas,2012,Mumbai,4,Seed,7.44,Angel,Medium,Medium,12
E-Commerce,2020,Hyderabad,1,Seed,1.07,Pe,Small,Small,4
Saas,2017,Chennai,2,Series B,13.69,Vc,Medium,Large,7
Ai,2023,Hyderabad,3,Series B,3.83,Vc,Small,Medium,1
Edtech,2012,Chennai,2,Seed,7.13,Vc,Small,Small,12
Fintech,2019,Chennai,1,Seed,11.64,Vc,Small,Medium,5
Saas,2015,Hyderabad,2,Series A,8.92,Vc,Large,Large,9
Healthtech,2015,Delhi,2,Seed,14.1,Vc,Medium,Large,9
Saas,2019,Delhi,3,Seed,16.93,Vc,Small,Medium,5
Healthtech,2023,Chennai,1,Seed,3.55,Angel,Medium,Small,1
E-Commerce,2023,Hyderabad,1,Seed,5.72,Pe,Large,Medium,1
Fintech,2009,Mumbai,4,Series B,3.88,Angel,Medium,Medium,15
Saas,2010,Chennai,2,Seed,10.08,Angel,Medium,Medium,14
Saas,2023,Pune,1,Seed,1.77,Vc,Large,Small,1
Fintech,2009,Chennai,1,Series A,14.88,Pe,Large,Large,15
Saas,2008,Bangalore,1,Seed,2.73,Vc,Small,Small,16
Healthtech,2009,Delhi,3,Series A,18.95,Vc,Medium,Large,15
Saas,2017,Hyderabad,3,Seed,16.84,Angel,Small,Medium,7
Edtech,2013,Mumbai,3,Series A,19.39,Angel,Medium,Large,11
E-Commerce,2019,Pune,1,Series A,1.0,Pe,Medium,Small,5
Ai,2008,Mumbai,3,Seed,4.26,Vc,Large,Medium,16
Healthtech,2013,Pune,1,Seed,19.23,Vc,Medium,Large,11
Edtech,2008,Chennai,3,Series A,19.7,Pe,Small,Large,16
E-Commerce,2009,Mumbai,2,Seed,5.76,Angel,Large,Medium,15
Fintech,2015,Mumbai,1,Seed,12.06,Angel,Medium,Large,9
Healthtech,2021,Chennai,4,Series B,4.31,Pe,Large,Large,3
Ai,2013,Delhi,2,Series B,17.92,Angel,Large,Large,11
E-Commerce,2016,Bangalore,2,Seed,2.91,Angel,Large,Small,8
Ai,2008,Delhi,2,Series A,13.83,Pe,Large,Large,16
Fintech,2012,Delhi,4,Seed,5.94,Angel,Medium,Medium,12
Fintech,2014,Bangalore,4,Seed,7.6,Angel,Large,Medium,10
Healthtech,2016,Chennai,4,Seed,11.05,Pe,Small,Medium,8
Saas,2021,Delhi,3,Series A,8.66,Pe,Large,Large,3
Fintech,2018,Hyderabad,3,Seed,10.56,Vc,Large,Large,6
E-Commerce,2016,Hyderabad,2,Series A,13.66,Vc,Large,Large,8
Saas,2011,Bangalore,4,Seed,6.07,Vc,Large,Medium,13
Edtech,2020,Hyderabad,2,Series A,14.83,Vc,Small,Large,4
Ai,2011,Chennai,2,Series A,8.46,Pe,Large,Large,13
Saas,2022,Mumbai,4,Series A,0.63,Angel,Large,Small,2
Ai,2011,Chennai,3,Seed,16.96,Angel,Small,Medium,13
Saas,2010,Bangalore,2,Series B,5.78,Pe,Small,Medium,14
Edtech,2015,Mumbai,2,Seed,17.23,Angel,Small,Large,9
Fintech,2012,Hyderabad,1,Series A,14.94,Pe,Large,Large,12
Edtech,2014,Delhi,4,Series A,8.25,Angel,Small,Medium,10
Fintech,2017,Hyderabad,2,Seed,13.08,Angel,Medium,Large,7
Fintech,2013,Chennai,4,Seed,19.84,Pe,Small,Large,11
Ai,2021,Chennai,1,Seed,6.29,Vc,Medium,Medium,3
E-Commerce,2016,Bangalore,4,Seed,9.12,Vc,Large,Large,8
Edtech,2021,Delhi,1,Series B,3.14,Vc,Medium,Medium,3
Saas,2010,Delhi,1,Series A,17.45,Vc,Small,Large,14
Edtech,2013,Mumbai,3,Seed,11.15,Angel,Medium,Medium,11
Ai,2010,Mumbai,2,Series A,2.22,Vc,Medium,Small,14
Fintech,2009,Chennai,2,Series B,12.03,Angel,Small,Large,15
Ai,2023,Bangalore,4,Series B,9.47,Vc,Large,Large,1
Healthtech,2010,Chennai,4,Seed,6.29,Pe,Small,Small,14
Healthtech,2009,Pune,1,Series A,0.57,Angel,Large,Small,15
Saas,2009,Delhi,1,Series B,4.48,Angel,Medium,Medium,15
Ai,2017,Delhi,4,Seed,4.28,Angel,Large,Medium,7
Saas,2018,Chennai,4,Series B,14.36,Angel,Small,Large,6
Saas,2014,Delhi,4,Series B,5.33,Angel,Medium,Large,10
Healthtech,2017,Mumbai,1,Series A,19.58,Pe,Small,Large,7
Saas,2023,Delhi,4,Series A,3.84,Angel,Large,Medium,1
Healthtech,2022,Mumbai,1,Seed,17.88,Vc,Large,Large,2
Fintech,2010,Hyderabad,2,Series B,7.43,Vc,Medium,Large,14
Ai,2015,Bangalore,2,Series A,19.99,Pe,Large,Large,9
Saas,2020,Bangalore,1,Series A,16.11,Pe,Large,Large,4
Healthtech,2023,Delhi,1,Series A,12.16,Angel,Small,Large,1
Edtech,2009,Bangalore,1,Series B,16.65,Pe,Large,Large,15
Saas,2018,Pune,1,Series A,17.96,Vc,Small,Large,6
E-Commerce,2018,Hyderabad,3,Seed,19.95,Pe,Large,Large,6
Fintech,2014,Delhi,2,Series A,3.57,Pe,Medium,Medium,10
Fintech,2010,Mumbai,2,Series A,11.78,Vc,Small,Large,14
Edtech,2016,Hyderabad,3,Series A,7.86,Angel,Large,Large,8
Healthtech,2014,Pune,4,Series B,7.83,Vc,Medium,Large,10
Saas,2022,Hyderabad,1,Series B,12.72,Pe,Small,Large,2
Healthtech,2016,Bangalore,1,Series A,10.18,Vc,Medium,Large,8
Fintech,2009,Pune,4,Seed,16.25,Angel,Large,Large,15
Healthtech,2013,Mumbai,2,Seed,6.7,Angel,Large,Medium,11
Fintech,2012,Chennai,3,Series A,10.69,Angel,Medium,Large,12
Healthtech,2021,Hyderabad,1,Seed,19.32,Vc,Medium,Large,3
Edtech,2009,Bangalore,2,Series A,1.99,Pe,Medium,Small,15
Ai,2011,Hyderabad,2,Series A,5.52,Vc,Medium,Medium,13
Edtech,2011,Mumbai,2,Seed,2.21,Vc,Small,Small,13
Edtech,2015,Mumbai,3,Seed,1.44,Angel,Large,Small,9
Ai,2020,Delhi,3,Series B,0.53,Angel,Small,Small,4
Ai,2014,Chennai,3,Series A,7.44,Angel,Small,Medium,10
Saas,2020,Chennai,3,Seed,17.0,Vc,Medium,Large,4
Saas,2012,Bangalore,3,Series A,4.99,Vc,Large,Large,12
Edtech,2016,Chennai,3,Series A,6.62,Angel,Medium,Medium,8
Edtech,2008,Mumbai,4,Seed,17.16,Pe,Small,Large,16
Fintech,2011,Chennai,2,Series A,3.17,Angel,Large,Medium,13
Fintech,2012,Bangalore,2,Seed,4.89,Vc,Medium,Small,12
Saas,2015,Hyderabad,4,Series A,14.3,Vc,Small,Large,9
E-Commerce,2010,Chennai,1,Series B,14.87,Vc,Small,Large,14
E-Commerce,2021,Chennai,4,Seed,7.3,Vc,Medium,Medium,3
Saas,2019,Mumbai,1,Series B,0.41,Pe,Medium,Small,5
Fintech,2012,Mumbai,1,Series B,7.75,Angel,Large,Large,12
Fintech,2010,Hyderabad,4,Seed,14.37,Angel,Large,Large,14
E-Commerce,2020,Pune,4,Seed,14.35,Pe,Medium,Large,4
Healthtech,2014,Pune,3,Series A,8.51,Pe,Large,Large,10
Healthtech,2017,Delhi,4,Seed,7.11,Vc,Small,Small,7
Fintech,2010,Chennai,3,Seed,14.1,Pe,Medium,Large,14
Healthtech,2014,Mumbai,4,Seed,18.99,Vc,Large,Large,10
Ai,2021,Delhi,4,Seed,15.9,Angel,Large,Large,3
Saas,2009,Chennai,1,Seed,4.74,Angel,Small,Small,15
Saas,2014,Chennai,4,Series A,19.26,Vc,Medium,Large,10
Fintech,2016,Delhi,1,Series A,12.27,Angel,Small,Large,8
Edtech,2019,Mumbai,3,Seed,2.43,Vc,Small,Small,5
E-Commerce,2012,Hyderabad,4,Series A,6.87,Angel,Small,Medium,12
Fintech,2019,Pune,3,Series B,14.54,Pe,Large,Large,5
Healthtech,2013,Chennai,4,Series B,17.42,Vc,Small,Large,11
E-Commerce,2020,Bangalore,4,Series A,10.68,Vc,Large,Large,4
Edtech,2017,Bangalore,2,Seed,2.93,Angel,Medium,Small,7
Healthtech,2018,Bangalore,4,Seed,2.65,Vc,Small,Small,6
Ai,2010,Hyderabad,1,Series B,6.65,Angel,Medium,Large,14
Healthtech,2020,Pune,3,Series B,0.94,Vc,Small,Small,4
Ai,2017,Chennai,2,Series A,8.49,Vc,Small,Medium,7
E-Commerce,2012,Mumbai,2,Series A,15.59,Angel,Medium,Large,12
Ai,2020,Mumbai,3,Series A,9.33,Vc,Large,Large,4
E-Commerce,2023,Pune,3,Seed,16.64,Angel,Large,Large,1
E-Commerce,2022,Hyderabad,2,Seed,13.21,Angel,Medium,Large,2
E-Commerce,2012,Pune,4,Seed,4.03,Angel,Large,Medium,12
E-Commerce,2010,Chennai,2,Series A,4.45,Angel,Large,Medium,14
E-Commerce,2015,Delhi,4,Series A,7.12,Pe,Large,Large,9
Healthtech,2013,Delhi,3,Seed,10.85,Angel,Large,Large,11
E-Commerce,2020,Chennai,4,Seed,13.63,Pe,Small,Medium,4
Healthtech,2010,Chennai,4,Series B,3.63,Vc,Medium,Medium,14
E-Commerce,2008,Mumbai,4,Seed,3.23,Vc,Medium,Small,16
Ai,2017,Hyderabad,1,Series B,0.45,Vc,Large,Small,7
E-Commerce,2008,Hyderabad,4,Series A,2.43,Pe,Large,Medium,16
Edtech,2020,Pune,1,Seed,15.09,Vc,Large,Large,4
E-Commerce,2018,Mumbai,4,Seed,1.3,Angel,Small,Small,6
E-Commerce,2017,Bangalore,4,Series A,12.19,Pe,Medium,Large,7
Ai,2019,Delhi,1,Series A,12.1,Angel,Medium,Large,5
Saas,2009,Chennai,4,Seed,19.85,Vc,Large,Large,15
Ai,2017,Pune,4,Seed,13.62,Vc,Small,Medium,7
Edtech,2023,Delhi,1,Seed,14.05,Pe,Large,Large,1
Saas,2012,Delhi,1,Series A,1.97,Vc,Large,Medium,12
Fintech,2014,Pune,1,Seed,17.55,Vc,Small,Large,10
Fintech,2008,Hyderabad,1,Series A,6.54,Pe,Large,Large,16
Edtech,2008,Mumbai,4,Series B,6.39,Pe,Medium,Large,16
Ai,2023,Bangalore,4,Seed,9.42,Angel,Large,Large,1
Healthtech,2011,Bangalore,3,Seed,14.21,Vc,Small,Medium,13
Edtech,2020,Pune,4,Seed,6.03,Pe,Medium,Medium,4
Saas,2017,Pune,2,Seed,15.59,Vc,Small,Medium,7
Saas,2022,Mumbai,2,Seed,5.06,Angel,Large,Medium,2
E-Commerce,2013,Delhi,2,Seed,2.63,Pe,Small,Small,11
Fintech,2016,Mumbai,4,Series A,13.99,Pe,Small,Large,8
Saas,2008,Mumbai,2,Seed,18.45,Vc,Small,Large,16
Edtech,2018,Chennai,4,Seed,18.21,Vc,Medium,Large,6
Saas,2017,Chennai,1,Series B,1.44,Pe,Medium,Small,7
Edtech,2012,Delhi,4,Series A,7.95,Pe,Large,Large,12
Healthtech,2016,Hyderabad,3,Series B,5.89,Angel,Large,Large,8
E-Commerce,2015,Bangalore,4,Seed,9.2,Pe,Medium,Medium,9
Fintech,2014,Chennai,2,Seed,1.2,Pe,Large,Small,10
Saas,2023,Delhi,1,Series A,8.33,Vc,Large,Large,1
Edtech,2023,Pune,1,Seed,19.23,Pe,Large,Large,1
Ai,2023,Mumbai,1,Series B,11.43,Vc,Small,Large,1
Fintech,2020,Chennai,3,Series A,4.5,Pe,Large,Medium,4
Healthtech,2017,Mumbai,3,Series A,16.22,Pe,Large,Large,7
Edtech,2023,Mumbai,3,Seed,8.07,Pe,Medium,Medium,1
E-Commerce,2009,Chennai,2,Series A,1.46,Angel,Large,Small,15
E-Commerce,2016,Delhi,2,Series A,7.18,Angel,Medium,Large,8
Healthtech,2019,Pune,3,Seed,16.32,Angel,Large,Large,5
Healthtech,2020,Bangalore,4,Series A,4.58,Angel,Large,Medium,4
E-Commerce,2023,Delhi,3,Series A,6.67,Pe,Large,Large,1
Saas,2015,Hyderabad,3,Series B,5.58,Angel,Large,Large,9
Saas,2020,Hyderabad,3,Series B,17.98,Vc,Small,Large,4
Edtech,2018,Bangalore,1,Seed,6.03,Angel,Small,Small,6
Ai,2022,Pune,2,Series B,4.96,Pe,Small,Medium,2
Edtech,2017,Hyderabad,1,Series B,18.56,Vc,Medium,Large,7
Ai,2017,Mumbai,4,Seed,20.0,Pe,Small,Large,7
Healthtech,2016,Hyderabad,4,Series A,11.95,Pe,Large,Large,8
Fintech,2016,Chennai,2,Seed,18.71,Pe,Small,Large,8
Edtech,2016,Mumbai,4,Seed,15.41,Pe,Medium,Large,8
Edtech,2010,Delhi,1,Series A,3.91,Pe,Small,Small,14
Ai,2014,Pune,1,Seed,13.74,Pe,Medium,Large,10
Healthtech,2023,Bangalore,1,Series A,15.84,Vc,Large,Large,1
Healthtech,2019,Chennai,4,Seed,14.91,Vc,Large,Large,5
Ai,2008,Chennai,3,Series A,10.69,Vc,Small,Large,16
Healthtech,2016,Bangalore,1,Seed,10.4,Pe,Large,Large,8
E-Commerce,2021,Hyderabad,1,Series A,16.47,Angel,Large,Large,3
Saas,2022,Bangalore,3,Series A,13.84,Vc,Medium,Large,2
E-Commerce,2016,Bangalore,3,Series B,15.9,Angel,Medium,Large,8
Fintech,2010,Hyderabad,2,Series B,4.31,Angel,Small,Medium,14
Edtech,2012,Delhi,4,Seed,19.34,Pe,Medium,Large,12
Fintech,2019,Pune,1,Series A,14.71,Pe,Small,Large,5
Edtech,2020,Bangalore,2,Seed,8.56,Vc,Large,Large,4
Saas,2015,Hyderabad,4,Series A,12.06,Vc,Large,Large,9
Healthtech,2013,Chennai,2,Seed,12.87,Vc,Large,Large,11
E-Commerce,2017,Bangalore,4,Seed,16.06,Vc,Medium,Large,7
Ai,2017,Pune,1,Series A,14.08,Pe,Small,Large,7
E-Commerce,2016,Bangalore,2,Seed,16.92,Pe,Small,Medium,8
Saas,2021,Delhi,4,Seed,8.02,Angel,Medium,Medium,3
Fintech,2020,Delhi,4,Series B,8.54,Angel,Small,Large,4
Ai,2010,Chennai,4,Seed,3.93,Pe,Small,Small,14
Healthtech,2019,Delhi,3,Series A,10.41,Vc,Large,Large,5
Saas,2014,Pune,4,Series A,8.15,Pe,Large,Large,10
Ai,2020,Chennai,3,Series B,13.36,Pe,Small,Large,4
Saas,2013,Bangalore,1,Series A,12.14,Vc,Small,Large,11
Saas,2023,Hyderabad,2,Seed,17.18,Pe,Large,Large,1
Healthtech,2021,Delhi,1,Series B,3.53,Pe,Medium,Medium,3
Edtech,2022,Chennai,3,Series A,18.33,Angel,Large,Large,2
Ai,2012,Delhi,1,Seed,4.57,Angel,Large,Medium,12
Healthtech,2023,Delhi,3,Seed,14.47,Angel,Large,Large,1
Saas,2011,Mumbai,3,Seed,10.07,Angel,Small,Medium,13
Healthtech,2012,Bangalore,4,Seed,14.11,Vc,Medium,Large,12
Edtech,2020,Delhi,3,Series A,10.82,Pe,Medium,Large,4
E-Commerce,2011,Hyderabad,4,Seed,13.12,Pe,Large,Large,13
Ai,2010,Pune,2,Seed,15.09,Angel,Medium,Large,14
Edtech,2014,Mumbai,4,Seed,4.02,Pe,Medium,Small,10
Fintech,2013,Chennai,4,Seed,6.98,Pe,Large,Medium,11
Ai,2011,Chennai,4,Seed,17.37,Angel,Medium,Large,13
Edtech,2016,Hyderabad,4,Series B,16.76,Vc,Large,Large,8
Saas,2008,Hyderabad,2,Seed,13.69,Pe,Small,Medium,16
Ai,2008,Pune,2,Series B,6.25,Vc,Large,Large,16
Ai,2016,Bangalore,2,Series B,4.28,Pe,Medium,Medium,8
Healthtech,2023,Hyderabad,3,Series A,1.16,Pe,Large,Small,1
Saas,2014,Chennai,3,Seed,18.69,Angel,Large,Large,10
Fintech,2009,Bangalore,4,Seed,12.79,Pe,Large,Large,15
E-Commerce,2018,Hyderabad,4,Seed,8.38,Angel,Large,Large,6
Edtech,2017,Hyderabad,3,Series A,13.86,Angel,Small,Large,7
Healthtech,2012,Chennai,4,Seed,9.27,Vc,Medium,Medium,12
Edtech,2020,Bangalore,2,Seed,7.14,Vc,Large,Medium,4
Fintech,2011,Mumbai,1,Seed,10.12,Angel,Large,Large,13
Fintech,2008,Mumbai,4,Seed,14.78,Pe,Small,Medium,16
Ai,2023,Pune,1,Seed,16.79,Pe,Large,Large,1
Fintech,2023,Bangalore,2,Seed,2.17,Pe,Small,Small,1
Edtech,2019,Hyderabad,4,Seed,1.48,Angel,Medium,Small,5
Saas,2020,Hyderabad,2,Series A,6.94,Pe,Large,Large,4
Saas,2016,Bangalore,2,Seed,0.97,Pe,Small,Small,8
Ai,2022,Mumbai,2,Series A,10.0,Pe,Small,Medium,2
E-Commerce,2013,Pune,3,Series A,16.51,Vc,Small,Large,11
Edtech,2018,Delhi,4,Series A,7.08,Pe,Small,Medium,6
Edtech,2020,Chennai,2,Seed,9.62,Vc,Large,Large,4
Fintech,2021,Bangalore,3,Series B,11.57,Vc,Large,Large,3
Edtech,2019,Pune,4,Seed,18.29,Angel,Small,Large,5
Healthtech,2013,Delhi,2,Series A,18.55,Pe,Small,Large,11
E-Commerce,2011,Chennai,4,Seed,12.71,Pe,Small,Medium,13
Fintech,2020,Delhi,3,Series B,0.4,Pe,Small,Small,4
Healthtech,2009,Delhi,3,Seed,3.95,Pe,Large,Medium,15
Ai,2015,Chennai,4,Seed,4.19,Pe,Large,Medium,9
Saas,2022,Delhi,4,Seed,12.06,Pe,Small,Medium,2
Ai,2022,Mumbai,3,Series A,14.21,Pe,Small,Large,2
Saas,2015,Pune,2,Seed,1.96,Pe,Large,Small,9
Ai,2010,Bangalore,3,Series A,5.94,Pe,Small,Medium,14
Edtech,2014,Pune,2,Series B,10.24,Pe,Medium,Large,10
Healthtech,2021,Mumbai,3,Seed,15.47,Vc,Small,Medium,3
Saas,2014,Mumbai,3,Seed,7.02,Vc,Small,Small,10
Fintech,2021,Chennai,2,Series A,10.04,Vc,Medium,Large,3
Healthtech,2012,Chennai,1,Seed,10.02,Vc,Small,Medium,12
Fintech,2022,Chennai,2,Series B,18.55,Angel,Small,Large,2
Healthtech,2012,Delhi,1,Series A,16.94,Angel,Large,Large,12
Healthtech,2022,Delhi,2,Seed,17.19,Pe,Large,Large,2
Ai,2015,Bangalore,3,Seed,3.5,Pe,Medium,Small,9
Saas,2011,Delhi,2,Series A,18.04,Pe,Large,Large,13
Saas,2008,Bangalore,1,Series B,8.0,Pe,Small,Large,16
Healthtech,2008,Mumbai,3,Seed,10.99,Angel,Small,Medium,16
Edtech,2016,Bangalore,2,Seed,12.36,Angel,Medium,Large,8
Edtech,2011,Bangalore,2,Series B,8.72,Pe,Large,Large,13
Fintech,2008,Chennai,3,Series A,7.0,Angel,Large,Large,16
Fintech,2023,Delhi,1,Seed,5.11,Pe,Medium,Medium,1
Ai,2020,Hyderabad,2,Seed,10.37,Vc,Medium,Medium,4
Healthtech,2009,Hyderabad,1,Series B,16.79,Angel,Large,Large,15
Fintech,2017,Chennai,2,Series A,15.35,Vc,Medium,Large,7
Fintech,2014,Pune,2,Seed,10.3,Pe,Large,Large,10
E-Commerce,2009,Pune,4,Seed,6.99,Angel,Small,Small,15
Healthtech,2008,Pune,4,Series A,0.45,Vc,Large,Small,16
Ai,2017,Mumbai,2,Seed,4.31,Vc,Large,Medium,7
Fintech,2021,Mumbai,4,Series A,3.9,Angel,Large,Medium,3
Ai,2016,Mumbai,1,Series A,11.85,Pe,Large,Large,8
Saas,2021,Bangalore,4,Series A,18.43,Angel,Small,Large,3
Ai,2012,Delhi,3,Seed,6.46,Angel,Small,Small,12
Edtech,2021,Mumbai,4,Series A,15.9,Angel,Small,Large,3
Edtech,2020,Hyderabad,2,Series A,6.73,Angel,Large,Large,4
Ai,2011,Bangalore,3,Seed,19.29,Vc,Medium,Large,13
Edtech,2011,Mumbai,2,Seed,4.06,Pe,Medium,Small,13
Saas,2022,Mumbai,4,Seed,8.26,Pe,Large,Large,2
Healthtech,2021,Pune,2,Seed,3.16,Vc,Medium,Small,3
Edtech,2018,Pune,4,Series A,4.68,Angel,Medium,Medium,6
Edtech,2020,Delhi,1,Series A,2.3,Angel,Large,Medium,4
Ai,2023,Delhi,3,Series B,2.37,Vc,Medium,Medium,1
Saas,2008,Bangalore,3,Series A,12.64,Pe,Medium,Large,16
Healthtech,2010,Hyderabad,1,Series A,15.72,Vc,Small,Large,14
Ai,2020,Chennai,3,Seed,1.8,Vc,Medium,Small,4
Ai,2008,Pune,2,Seed,4.58,Vc,Medium,Small,16
E-Commerce,2012,Hyderabad,2,Seed,6.56,Angel,Small,Small,12
Saas,2012,Pune,4,Seed,18.75,Angel,Medium,Large,12
Healthtech,2023,Delhi,3,Series A,12.04,Angel,Small,Large,1
Saas,2016,Delhi,3,Series A,2.32,Pe,Small,Small,8
Healthtech,2020,Chennai,3,Seed,7.52,Angel,Large,Medium,4
Saas,2015,Hyderabad,1,Seed,14.36,Angel,Medium,Large,9
Ai,2012,Hyderabad,4,Seed,19.57,Angel,Medium,Large,12
Ai,2012,Chennai,3,Seed,14.82,Pe,Large,Large,12
Fintech,2014,Delhi,3,Seed,3.79,Angel,Small,Small,10
Edtech,2019,Bangalore,2,Seed,16.42,Vc,Medium,Large,5
E-Commerce,2009,Hyderabad,1,Series A,0.27,Vc,Large,Small,15
Saas,2020,Mumbai,3,Series A,9.75,Vc,Medium,Large,4
E-Commerce,2014,Hyderabad,3,Seed,7.03,Angel,Large,Medium,10
Fintech,2023,Hyderabad,1,Series B,18.94,Angel,Large,Large,1
Edtech,2008,Hyderabad,2,Seed,1.11,Angel,Medium,Small,16
Saas,2021,Delhi,1,Series B,5.26,Pe,Medium,Large,3
Healthtech,2012,Mumbai,4,Series A,5.35,Angel,Small,Medium,12
Edtech,2022,Hyderabad,2,Seed,8.58,Vc,Small,Medium,2
